station_id,capacity,docks_total,diff_net,ape_net,capacity_calib,diff_calib,ape_calib
30200,0,15,-15,100.0,8.707697090855955,-6.292302909144045,41.9486860609603
30201,0,11,-11,100.0,8.707697090855955,-2.2923029091440448,20.839117355854953
31000,21,12,9,75.0,9.563106995550378,-2.4368930044496224,20.307441703746854
31002,37,7,30,428.57142857142856,10.214847875317558,3.214847875317558,45.92639821882226
31003,20,5,15,300.0,9.52237319056493,4.522373190564929,90.44746381129858
31004,17,3,14,466.6666666666667,9.400171775608584,6.400171775608584,213.3390591869528
31005,26,5,21,420.0,9.766776020477622,4.7667760204776215,95.33552040955243
31006,22,1,21,2100.0,9.603840800535828,8.603840800535828,860.3840800535828
31007,29,8,21,262.5,9.888977435433969,1.8889774354339686,23.61221794292461
31009,17,8,9,112.5,9.400171775608584,1.4001717756085839,17.502147195107298
31010,0,8,-8,100.0,8.707697090855955,0.7076970908559552,8.84621363569944
31011,0,12,-12,100.0,8.707697090855955,-3.2923029091440448,27.435857576200373
31012,0,8,-8,100.0,8.707697090855955,0.7076970908559552,8.84621363569944
31013,16,6,10,166.66666666666669,9.359437970623135,3.3594379706231354,55.99063284371893
31014,99,10,89,890.0,12.740343784415378,2.740343784415378,27.403437844153782
31015,67,11,56,509.09090909090907,11.43686202488102,0.43686202488101955,3.9714729534638145
31016,22,12,10,83.33333333333334,9.603840800535828,-2.396159199464172,19.967993328868104
31017,166,13,153,1176.923076923077,15.469508718440443,2.4695087184404425,18.99622091108033
31018,44,2,42,2100.0,10.499984510215699,8.499984510215699,424.9992255107849
31019,80,10,70,700.0,11.966401489691853,1.9664014896918527,19.664014896918527
31020,83,7,76,1085.7142857142858,12.088602904648198,5.088602904648198,72.69432720925997
31021,22,14,8,57.14285714285714,9.603840800535828,-4.396159199464172,31.4011371390298
31022,226,18,208,1155.5555555555554,17.913537017567364,-0.08646298243263573,0.4803499024035318
31023,25,10,15,150.0,9.726042215492173,-0.27395778450782693,2.7395778450782693
31024,87,8,79,987.5,12.251538124589993,4.2515381245899935,53.14422655737492
31025,48,10,38,380.0,10.662919730157494,0.6629197301574941,6.629197301574941
31026,28,15,13,86.66666666666667,9.84824363044852,-5.15175636955148,34.345042463676535
31027,50,15,35,233.33333333333334,10.744387340128391,-4.255612659871609,28.37075106581073
31028,42,12,30,250.0,10.418516900244802,-1.5814830997551983,13.17902583129332
31029,31,13,18,138.46153846153845,9.970445045404865,-3.0295549545951346,23.304268881501038
31030,188,14,174,1242.857142857143,16.365652428120313,2.3656524281203133,16.897517343716522
31031,70,13,57,438.4615384615385,11.559063439837367,-1.4409365601626334,11.08412738586641
31032,12,7,5,71.42857142857143,9.19650275068134,2.19650275068134,31.37861072401914
31033,9,1,8,800.0,9.074301335724993,8.074301335724993,807.4301335724992
31034,16,11,5,45.45454545454545,9.359437970623135,-1.6405620293768646,14.914200267062405
31035,19,3,16,533.3333333333333,9.48163938557948,6.481639385579481,216.05464618598268
31036,29,7,22,314.2857142857143,9.888977435433969,2.8889774354339686,41.271106220485265
31037,64,21,43,204.76190476190476,11.314660609924672,-9.685339390075328,46.12066376226346
31038,30,9,21,233.33333333333334,9.929711240419417,0.929711240419417,10.330124893549078
31039,59,13,46,353.8461538461538,11.11099158499743,-1.8890084150025697,14.530833961558228
31040,21,6,15,250.0,9.563106995550378,3.5631069955503776,59.38511659250629
31041,63,1,62,6200.0,11.273926804939224,10.273926804939224,1027.3926804939224
31042,56,6,50,833.3333333333334,10.988790170041083,4.988790170041083,83.14650283401805
31043,30,4,26,650.0,9.929711240419417,5.929711240419417,148.24278101048543
31044,10,6,4,66.66666666666666,9.115035140710443,3.115035140710443,51.91725234517405
31045,26,7,19,271.42857142857144,9.766776020477622,2.7667760204776215,39.525371721108876
31046,12,6,6,100.0,9.19650275068134,3.19650275068134,53.275045844689
31047,10,13,-3,23.076923076923077,9.115035140710443,-3.884964859289557,29.884345071458128
31048,11,19,-8,42.10526315789473,9.155768945695892,-9.844231054304108,51.811742391074254
31049,43,5,38,760.0,10.45925070523025,5.45925070523025,109.18501410460499
31050,15,8,7,87.5,9.318704165637685,1.3187041656376852,16.483802070471064
31051,18,7,11,157.14285714285714,9.440905580594032,2.4409055805940323,34.87007972277189
31052,35,8,27,337.5,10.133380265346661,2.133380265346661,26.66725331683326
31053,26,7,19,271.42857142857144,9.766776020477622,2.7667760204776215,39.525371721108876
31054,10,5,5,100.0,9.115035140710443,4.115035140710443,82.30070281420886
31055,20,7,13,185.71428571428572,9.52237319056493,2.522373190564929,36.03390272235613
31057,13,11,2,18.181818181818183,9.237236555666788,-1.7627634443332116,16.025122221211017
31058,17,7,10,142.85714285714286,9.400171775608584,2.400171775608584,34.28816822297977
31059,12,4,8,200.0,9.19650275068134,5.19650275068134,129.9125687670335
31060,29,10,19,190.0,9.888977435433969,-0.11102256456603143,1.1102256456603143
31061,19,9,10,111.11111111111111,9.48163938557948,0.4816393855794807,5.351548728660896
31062,19,4,15,375.0,9.48163938557948,5.481639385579481,137.04098463948702
31063,8,2,6,300.0,9.033567530739544,7.033567530739544,351.6783765369772
31064,31,3,28,933.3333333333334,9.970445045404865,6.970445045404865,232.3481681801622
31065,41,8,33,412.5,10.377783095259353,2.3777830952593533,29.722288690741916
31066,7,4,3,75.0,8.992833725754096,4.992833725754096,124.8208431438524
31067,19,7,12,171.42857142857142,9.48163938557948,2.4816393855794807,35.45199122256401
31068,44,7,37,528.5714285714286,10.499984510215699,3.4999845102156986,49.99977871736712
31069,18,8,10,125.0,9.440905580594032,1.4409055805940323,18.011319757425404
31070,9,7,2,28.57142857142857,9.074301335724993,2.074301335724993,29.632876224642757
31071,33,8,25,312.5,10.051912655375762,2.0519126553757623,25.648908192197027
31072,6,6,0,0.0,8.952099920768648,2.9520999207686476,49.201665346144125
31073,19,5,14,280.0,9.48163938557948,4.481639385579481,89.63278771158961
31075,11,1,10,1000.0,9.155768945695892,8.155768945695892,815.5768945695892
31076,10,7,3,42.857142857142854,9.115035140710443,2.115035140710443,30.2147877244349
31077,23,14,9,64.28571428571429,9.644574605521276,-4.355425394478724,31.11018138913374
31078,26,2,24,1200.0,9.766776020477622,7.7667760204776215,388.33880102388105
31079,21,4,17,425.0,9.563106995550378,5.563106995550378,139.07767488875945
31080,31,15,16,106.66666666666667,9.970445045404865,-5.029554954595135,33.53036636396756
31081,15,5,10,200.0,9.318704165637685,4.318704165637685,86.3740833127537
31082,19,13,6,46.15384615384615,9.48163938557948,-3.5183606144205193,27.06431241861938
31083,11,9,2,22.22222222222222,9.155768945695892,0.1557689456958915,1.7307660632876833
31084,12,12,0,0.0,9.19650275068134,-2.80349724931866,23.362477077655498
31085,20,10,10,100.0,9.52237319056493,-0.47762680943507085,4.7762680943507085
31086,9,2,7,350.0,9.074301335724993,7.074301335724993,353.7150667862496
31087,20,14,6,42.857142857142854,9.52237319056493,-4.477626809435071,31.983048638821938
31088,21,8,13,162.5,9.563106995550378,1.5631069955503776,19.53883744437972
31089,19,16,3,18.75,9.48163938557948,-6.518360614420519,40.739753840128245
31090,19,3,16,533.3333333333333,9.48163938557948,6.481639385579481,216.05464618598268
31091,18,3,15,500.0,9.440905580594032,6.440905580594032,214.69685268646774
31092,29,1,28,2800.0,9.888977435433969,8.888977435433969,888.8977435433968
31093,36,11,25,227.27272727272728,10.17411407033211,-0.8258859296678907,7.5080539060717335
31094,20,5,15,300.0,9.52237319056493,4.522373190564929,90.44746381129858
31095,11,8,3,37.5,9.155768945695892,1.1557689456958915,14.447111821198643
31096,14,9,5,55.55555555555556,9.277970360652237,0.2779703606522368,3.0885595628026308
31098,23,1,22,2200.0,9.644574605521276,8.644574605521276,864.4574605521276
31099,11,14,-3,21.428571428571427,9.155768945695892,-4.8442310543041085,34.60165038788649
31100,0,15,-15,100.0,8.707697090855955,-6.292302909144045,41.9486860609603
31101,0,1,-1,100.0,8.707697090855955,7.707697090855955,770.7697090855955
31102,0,36,-36,100.0,8.707697090855955,-27.292302909144045,75.81195252540013
31104,0,8,-8,100.0,8.707697090855955,0.7076970908559552,8.84621363569944
31105,0,16,-16,100.0,8.707697090855955,-7.292302909144045,45.57689318215028
31106,0,15,-15,100.0,8.707697090855955,-6.292302909144045,41.9486860609603
31107,0,11,-11,100.0,8.707697090855955,-2.2923029091440448,20.839117355854953
31108,0,21,-21,100.0,8.707697090855955,-12.292302909144045,58.53477575782878
31109,0,6,-6,100.0,8.707697090855955,2.7076970908559552,45.128284847599254
31110,0,9,-9,100.0,8.707697090855955,-0.2923029091440448,3.2478101016004977
31111,0,13,-13,100.0,8.707697090855955,-4.292302909144045,33.01771468572342
31112,0,11,-11,100.0,8.707697090855955,-2.2923029091440448,20.839117355854953
31113,0,10,-10,100.0,8.707697090855955,-1.2923029091440448,12.923029091440446
31114,0,9,-9,100.0,8.707697090855955,-0.2923029091440448,3.2478101016004977
31115,266,13,253,1946.153846153846,19.542889216985316,6.542889216985316,50.3299170537332
31116,0,10,-10,100.0,8.707697090855955,-1.2923029091440448,12.923029091440446
31117,0,6,-6,100.0,8.707697090855955,2.7076970908559552,45.128284847599254
31118,0,2,-2,100.0,8.707697090855955,6.707697090855955,335.38485454279777
31119,0,15,-15,100.0,8.707697090855955,-6.292302909144045,41.9486860609603
31120,0,9,-9,100.0,8.707697090855955,-0.2923029091440448,3.2478101016004977
31121,0,14,-14,100.0,8.707697090855955,-5.292302909144045,37.802163636743174
31122,86,7,79,1128.5714285714287,12.210804319604545,5.210804319604545,74.44006170863636
31123,95,14,81,578.5714285714286,12.577408564473583,-1.4225914355264173,10.161367396617267
31124,80,23,57,247.82608695652172,11.966401489691853,-11.033598510308147,47.97216743612238
31125,53,7,46,657.1428571428571,10.866588755084738,3.866588755084738,55.236982215496255
31126,54,8,46,575.0,10.907322560070186,2.9073225600701864,36.34153200087733
31127,29,10,19,190.0,9.888977435433969,-0.11102256456603143,1.1102256456603143
31128,144,14,130,928.5714285714287,14.573365008760572,0.5733650087605717,4.095464348289798
31129,108,5,103,2060.0,13.106948029284418,8.106948029284418,162.13896058568835
31130,72,11,61,554.5454545454546,11.640531049808263,0.6405310498082635,5.823009543711486
31131,277,11,266,2418.1818181818185,19.99096107182525,8.99096107182525,81.7360097438659
31132,56,12,44,366.66666666666663,10.988790170041083,-1.0112098299589167,8.426748582990973
31133,132,8,124,1550.0,14.084559348935187,6.084559348935187,76.05699186168984
31134,126,12,114,950.0,13.840156519022493,1.8401565190224929,15.334637658520775
31135,181,18,163,905.5555555555555,16.080515793222173,-1.9194842067778275,10.663801148765709
31136,167,19,148,778.9473684210526,15.510242523425891,-3.489757476574109,18.367144613547943
31137,102,14,88,628.5714285714286,12.862545199371723,-1.1374548006282765,8.124677147344832
31138,30,7,23,328.57142857142856,9.929711240419417,2.929711240419417,41.853017720277386
31139,44,11,33,300.0,10.499984510215699,-0.5000154897843014,4.545595361675468
31140,32,14,18,128.57142857142858,10.011178850390314,-3.988821149609686,28.491579640069187
31201,41,16,25,156.25,10.377783095259353,-5.622216904740647,35.13885565462904
31202,73,16,57,356.25,11.681264854793712,-4.318735145206288,26.9920946575393
31203,127,13,114,876.923076923077,13.880890324007943,0.8808903240079431,6.776079415445715
31204,35,7,28,400.0,10.133380265346661,3.133380265346661,44.762575219238016
31205,120,39,81,207.6923076923077,13.595753689109802,-25.404246310890198,65.13909310484665
31206,25,7,18,257.14285714285717,9.726042215492173,2.726042215492173,38.943460221316755
31207,21,15,6,40.0,9.563106995550378,-5.436893004449622,36.24595336299748
31208,92,12,80,666.6666666666667,12.455207149517237,0.4552071495172374,3.793392912643645
31209,210,13,197,1515.3846153846152,17.261796137800186,4.261796137800186,32.78304721384758
31210,63,15,48,320.0,11.273926804939224,-3.726073195060776,24.84048796707184
31211,30,2,28,1400.0,9.929711240419417,7.929711240419417,396.48556202097086
31212,82,5,77,1540.0,12.047869099662751,7.047869099662751,140.957381993255
31213,122,3,119,3966.6666666666665,13.6772212990807,10.6772212990807,355.90737663602334
31214,59,17,42,247.05882352941177,11.11099158499743,-5.88900841500257,34.64122597060335
31215,226,8,218,2725.0,17.913537017567364,9.913537017567364,123.91921271959205
31216,207,25,182,728.0,17.13959472284384,-7.860405277156161,31.441621108624645
31217,131,36,95,263.88888888888886,14.043825543949737,-21.956174456050263,60.98937348902851
31218,50,11,39,354.54545454545456,10.744387340128391,-0.2556126598716091,2.3237514533782644
31219,66,43,23,53.48837209302325,11.396128219895571,-31.603871780104427,73.49737623280099
31220,33,2,31,1550.0,10.051912655375762,8.051912655375762,402.5956327687881
31221,113,21,92,438.09523809523813,13.310617054211662,-7.6893829457883385,36.61610926565875
31222,168,17,151,888.2352941176471,15.550976328411341,-1.4490236715886589,8.523668656403876
31223,86,17,69,405.88235294117646,12.210804319604545,-4.789195680395455,28.171739296443853
31224,68,8,60,750.0,11.477595829866468,3.477595829866468,43.46994787333085
31225,275,15,260,1733.3333333333333,19.909493461854353,4.909493461854353,32.729956412362355
31226,45,5,40,800.0,10.540718315201147,5.540718315201147,110.81436630402295
31227,155,25,130,520.0,15.021436863600506,-9.978563136399494,39.914252545597975
31228,298,30,268,893.3333333333334,20.846370976519673,-9.153629023480327,30.512096744934425
31229,217,1,216,21600.0,17.546932772698327,16.546932772698327,1654.6932772698326
31230,300,17,283,1664.7058823529412,20.927838586490573,3.927838586490573,23.10493286170925
31231,134,13,121,930.7692307692308,14.166026958906084,1.1660269589060839,8.969438145431415
31232,156,20,136,680.0,15.062170668585956,-4.937829331414044,24.689146657070218
31233,155,34,121,355.88235294117646,15.021436863600506,-18.978563136399494,55.81930334235145
31234,78,30,48,160.0,11.884933879720956,-18.115066120279046,60.38355373426349
31235,88,31,57,183.8709677419355,12.292271929575442,-18.707728070424558,60.347509904595356
31236,86,12,74,616.6666666666667,12.210804319604545,0.21080431960454504,1.7567026633712086
31238,133,23,110,478.2608695652174,14.125293153920635,-8.874706846079365,38.5856819394755
31239,54,19,35,184.21052631578948,10.907322560070186,-8.092677439929814,42.59303915752534
31240,48,25,23,92.0,10.662919730157494,-14.337080269842506,57.348321079370024
31241,173,10,163,1630.0,15.754645353338585,5.754645353338585,57.54645353338586
31242,56,22,34,154.54545454545453,10.988790170041083,-11.011209829958917,50.05095377254053
31243,132,42,90,214.28571428571428,14.084559348935187,-27.915440651064813,66.46533488348764
31244,55,14,41,292.85714285714283,10.948056365055635,-3.051943634944365,21.799597392459752
31245,45,1,44,4400.0,10.540718315201147,9.540718315201147,954.0718315201148
31247,300,13,287,2207.6923076923076,20.927838586490573,7.927838586490573,60.98337374223518
31248,117,11,106,963.6363636363636,13.473552274153455,2.4735522741534552,22.4868388559405
31249,85,7,78,1114.2857142857142,12.170070514619097,5.170070514619097,73.85815020884424
31250,62,17,45,264.70588235294116,11.233192999953776,-5.766807000046224,33.92239411791897
31251,43,11,32,290.90909090909093,10.45925070523025,-0.5407492947697499,4.915902679724999
31252,43,15,28,186.66666666666666,10.45925070523025,-4.54074929476975,30.271661965131663
31253,112,23,89,386.95652173913044,13.269883249226211,-9.730116750773789,42.30485543814691
31254,94,15,79,526.6666666666666,12.536674759488136,-2.463325240511864,16.422168270079094
31255,35,3,32,1066.6666666666665,10.133380265346661,7.133380265346661,237.77934217822204
31256,54,10,44,440.00000000000006,10.907322560070186,0.9073225600701864,9.073225600701864
31257,60,25,35,140.0,11.151725389982879,-13.848274610017121,55.39309844006849
31258,88,13,75,576.9230769230769,12.292271929575442,-0.7077280704245581,5.444062080188909
31259,41,11,30,272.7272727272727,10.377783095259353,-0.6222169047406467,5.656517315824061
31260,38,11,27,245.45454545454547,10.255581680303006,-0.7444183196969938,6.76743926997267
31261,32,14,18,128.57142857142858,10.011178850390314,-3.988821149609686,28.491579640069187
31262,187,16,171,1068.75,16.324918623134867,0.32491862313486664,2.0307413945929165
31263,44,20,24,120.0,10.499984510215699,-9.500015489784301,47.50007744892151
31264,90,3,87,2900.0,12.37373953954634,9.37373953954634,312.4579846515447
31265,85,5,80,1600.0,12.170070514619097,7.170070514619097,143.40141029238194
31266,84,11,73,663.6363636363636,12.129336709633648,1.1293367096336482,10.266697360305892
31267,79,8,71,887.5,11.925667684706404,3.9256676847064043,49.07084605883006
31268,267,25,242,968.0,19.583623021970766,-5.416376978029234,21.665507912116936
31269,43,5,38,760.0,10.45925070523025,5.45925070523025,109.18501410460499
31270,123,14,109,778.5714285714286,13.717955104066148,-0.2820448959338524,2.014606399527517
31271,50,14,36,257.14285714285717,10.744387340128391,-3.255612659871609,23.254376141940064
31272,97,28,69,246.42857142857144,12.658876174444481,-15.341123825555519,54.78972794841257
31273,47,9,38,422.22222222222223,10.622185925172046,1.6221859251720456,18.024288057467174
31274,247,1,246,24600.0,18.76894692226179,17.76894692226179,1776.894692226179
31275,55,1,54,5400.0,10.948056365055635,9.948056365055635,994.8056365055635
31276,137,23,114,495.65217391304344,14.288228373862431,-8.711771626137569,37.87726793972856
31277,100,28,72,257.14285714285717,12.781077589400827,-15.218922410599173,54.35329432356848
31278,37,10,27,270.0,10.214847875317558,0.21484787531755778,2.148478753175578
31279,49,16,33,206.25,10.703653535142942,-5.2963464648570575,33.10216540535661
31280,122,13,109,838.4615384615385,13.6772212990807,0.6772212990806992,5.209394608313071
31281,78,5,73,1460.0,11.884933879720956,6.884933879720956,137.6986775944191
31282,38,5,33,660.0,10.255581680303006,5.255581680303006,105.11163360606012
31283,30,12,18,150.0,9.929711240419417,-2.070288759580583,17.25240632983819
31284,27,15,12,80.0,9.80750982546307,-5.19249017453693,34.61660116357954
31286,194,14,180,1285.7142857142858,16.610055258033007,2.6100552580330074,18.64325184309291
31287,33,17,16,94.11764705882352,10.051912655375762,-6.948087344624238,40.8711020272014
31288,77,22,55,250.0,11.844200074735507,-10.155799925264493,46.16272693302042
31290,41,5,36,720.0,10.377783095259353,5.377783095259353,107.55566190518707
31291,87,14,73,521.4285714285714,12.251538124589993,-1.7484618754100065,12.489013395785761
31292,51,16,35,218.75,10.78512114511384,-5.214878854886161,32.5929928430385
31293,245,5,240,4800.0,18.68747931229089,13.68747931229089,273.7495862458178
31294,47,10,37,370.0,10.622185925172046,0.6221859251720456,6.221859251720456
31295,55,4,51,1275.0,10.948056365055635,6.948056365055635,173.70140912639087
31296,134,8,126,1575.0,14.166026958906084,6.166026958906084,77.07533698632605
31298,50,10,40,400.0,10.744387340128391,0.7443873401283909,7.44387340128391
31299,31,12,19,158.33333333333331,9.970445045404865,-2.0295549545951346,16.912957954959452
31300,24,11,13,118.18181818181819,9.685308410506725,-1.3146915894932754,11.95174172266614
31301,125,14,111,792.8571428571429,13.799422714037046,-0.20057728596295377,1.432694899735384
31302,77,19,58,305.2631578947369,11.844200074735507,-7.155799925264493,37.66210486981312
31303,124,12,112,933.3333333333334,13.758688909051596,1.758688909051596,14.6557409087633
31304,80,7,73,1042.857142857143,11.966401489691853,4.966401489691853,70.94859270988361
31305,37,8,29,362.5,10.214847875317558,2.214847875317558,27.685598441469473
31306,90,10,80,800.0,12.37373953954634,2.3737395395463405,23.737395395463405
31307,54,5,49,980.0000000000001,10.907322560070186,5.907322560070186,118.14645120140372
31308,53,7,46,657.1428571428571,10.866588755084738,3.866588755084738,55.236982215496255
31309,27,11,16,145.45454545454547,9.80750982546307,-1.19249017453693,10.840819768517546
31310,33,11,22,200.0,10.051912655375762,-0.9480873446242377,8.618975860220344
31311,197,16,181,1131.25,16.73225667298935,0.7322566729893509,4.576604206183443
31312,46,9,37,411.1111111111111,10.581452120186597,1.5814521201865972,17.571690224295526
31313,45,7,38,542.8571428571429,10.540718315201147,3.540718315201147,50.58169021715925
31314,208,8,200,2500.0,17.18032852782929,9.180328527829289,114.75410659786611
